state,date,positive cases
Maryland,2020-03-28,1066
Maryland,2020-03-29,1244
Maryland,2020-03-30,1415
Maryland,2020-03-31,1662
Maryland,2020-04-01,1985
Maryland,2020-04-02,2331
Maryland,2020-04-03,2758
Maryland,2020-04-04,3125
Maryland,2020-04-05,3609
Maryland,2020-04-06,4045
Maryland,2020-04-07,4371
Maryland,2020-04-08,5529
Maryland,2020-04-09,6185
Maryland,2020-04-10,6968
Maryland,2020-04-11,7694
Maryland,2020-04-12,8225
Maryland,2020-04-13,8936
Maryland,2020-04-14,9472
Maryland,2020-04-15,10096
Maryland,2020-04-16,10851
Maryland,2020-04-17,11641
Maryland,2020-04-18,12379
Maryland,2020-04-19,12892
Maryland,2020-04-20,13750
Maryland,2020-04-21,14261
Maryland,2020-04-22,14842
Maryland,2020-04-23,15805
Maryland,2020-04-24,16693
Maryland,2020-04-25,17844
Maryland,2020-04-26,18664
Maryland,2020-04-27,19574
Maryland,2020-04-28,20200
Maryland,2020-04-29,20942
Maryland,2020-04-30,21825
Maryland,2020-05-01,23566
Maryland,2020-05-02,24568
Maryland,2020-05-03,25561
Maryland,2020-05-04,26509
Maryland,2020-05-05,27217
Maryland,2020-05-06,28263
Maryland,2020-05-07,29476
Maryland,2020-05-08,30592
Maryland,2020-05-09,31638
Maryland,2020-05-10,32693
Maryland,2020-05-11,33483
Maryland,2020-05-12,34174
Maryland,2020-05-13,34927
Maryland,2020-05-14,36021
Maryland,2020-05-15,37105
Maryland,2020-05-16,38083
Maryland,2020-05-17,38920
Maryland,2020-05-18,39882
Maryland,2020-05-19,41664
Maryland,2020-05-20,42442
Maryland,2020-05-21,43645
Maryland,2020-05-22,44539
Maryland,2020-05-23,45608
Maryland,2020-05-24,46919
Maryland,2020-05-25,47754
Maryland,2020-05-26,48290
Maryland,2020-05-27,49042
Maryland,2020-05-28,50334
Maryland,2020-05-29,51631
Maryland,2020-05-30,52662
Maryland,2020-05-31,53456
Maryland,2020-06-01,54035
Maryland,2020-06-02,54831
Maryland,2020-06-03,55617
Maryland,2020-06-04,56490
Maryland,2020-06-05,57407
Maryland,2020-06-06,58099
Maryland,2020-06-07,58593
Maryland,2020-06-08,59024
Maryland,2020-06-09,59543
Maryland,2020-06-10,60114
Maryland,2020-06-11,60823
Maryland,2020-06-12,61262
Maryland,2020-06-13,61935
Maryland,2020-06-14,62328
Maryland,2020-06-15,62653
Maryland,2020-06-16,63004
Maryland,2020-06-17,63565
Maryland,2020-06-18,63839
Maryland,2020-06-19,64150
Maryland,2020-06-20,64565
Maryland,2020-06-21,64903
Maryland,2020-06-22,65202
Maryland,2020-06-23,65602
Maryland,2020-06-24,65934
Maryland,2020-06-25,66397
Maryland,2020-06-26,66704
Maryland,2020-06-27,67032
Maryland,2020-06-28,67360
Maryland,2020-06-29,67837
Maryland,2020-06-30,68152
Maryland,2020-07-01,68502
Maryland,2020-07-02,69015
Maryland,2020-07-03,69422
Maryland,2020-07-04,69724
Maryland,2020-07-05,69957
Maryland,2020-07-06,70497
Maryland,2020-07-07,70986
Maryland,2020-07-08,71455
Maryland,2020-07-09,72037
Maryland,2020-07-10,72503
Maryland,2020-07-11,73060
Maryland,2020-07-12,73705
Maryland,2020-07-13,74124
Maryland,2020-07-14,74836
Maryland,2020-07-15,75576
Maryland,2020-07-16,76237
Maryland,2020-07-17,76941
Maryland,2020-07-18,77773
Maryland,2020-07-19,78698
Virginia,2020-03-07,1
Virginia,2020-03-08,2
Virginia,2020-03-09,5
Virginia,2020-03-10,8
Virginia,2020-03-11,10
Virginia,2020-03-12,17
Virginia,2020-03-13,30
Virginia,2020-03-14,42
Virginia,2020-03-15,45
Virginia,2020-03-16,51
Virginia,2020-03-17,67
Virginia,2020-03-18,78
Virginia,2020-03-19,94
Virginia,2020-03-20,115
Virginia,2020-03-21,152
Virginia,2020-03-22,219
Virginia,2020-03-23,254
Virginia,2020-03-24,291
Virginia,2020-03-25,390
Virginia,2020-03-26,603
Virginia,2020-03-27,605
Virginia,2020-03-28,739
Virginia,2020-03-29,889
Virginia,2020-03-30,1020
Virginia,2020-03-31,1249
Virginia,2020-04-01,1511
Virginia,2020-04-02,1706
Virginia,2020-04-03,2011
Virginia,2020-04-04,2408
Virginia,2020-04-05,2636
Virginia,2020-04-06,2877
Virginia,2020-04-07,3332
Virginia,2020-04-08,3644
Virginia,2020-04-09,4041
Virginia,2020-04-10,4509
Virginia,2020-04-11,5076
Virginia,2020-04-12,5273
Virginia,2020-04-13,5746
Virginia,2020-04-14,6173
Virginia,2020-04-15,6502
Virginia,2020-04-16,6891
Virginia,2020-04-17,7492
Virginia,2020-04-18,8053
Virginia,2020-04-19,8536
Virginia,2020-04-20,8989
Virginia,2020-04-21,9629
Virginia,2020-04-22,10265
Virginia,2020-04-23,10999
Virginia,2020-04-24,11595
Virginia,2020-04-25,12365
Virginia,2020-04-26,12969
Virginia,2020-04-27,13534
Virginia,2020-04-28,14338
Virginia,2020-04-29,14961
Virginia,2020-04-30,15846
Virginia,2020-05-01,16901
Virginia,2020-05-02,17731
Virginia,2020-05-03,18671
Virginia,2020-05-04,19492
Virginia,2020-05-05,20256
Virginia,2020-05-06,20256
Virginia,2020-05-07,21570
Virginia,2020-05-08,22342
Virginia,2020-05-09,23196
Virginia,2020-05-10,24081
Virginia,2020-05-11,25070
Virginia,2020-05-12,25800
Virginia,2020-05-13,26746
Virginia,2020-05-14,27813
Virginia,2020-05-15,28672
Virginia,2020-05-16,29683
Virginia,2020-05-17,30388
Virginia,2020-05-18,31140
Virginia,2020-05-19,32145
Virginia,2020-05-20,32908
Virginia,2020-05-21,34137
Virginia,2020-05-22,34950
Virginia,2020-05-23,35749
Virginia,2020-05-24,36244
Virginia,2020-05-25,37727
Virginia,2020-05-26,39342
Virginia,2020-05-27,40249
Virginia,2020-05-28,41401
Virginia,2020-05-29,42533
Virginia,2020-05-30,43611
Virginia,2020-05-31,44607
Virginia,2020-06-01,45398
Virginia,2020-06-02,46239
Virginia,2020-06-03,46905
Virginia,2020-06-04,47856
Virginia,2020-06-05,48532
Virginia,2020-06-06,49397
Virginia,2020-06-07,50681
Virginia,2020-06-08,51251
Virginia,2020-06-09,51738
Virginia,2020-06-10,52177
Virginia,2020-06-11,52647
Virginia,2020-06-12,53211
Virginia,2020-06-13,53869
Virginia,2020-06-14,54506
Virginia,2020-06-15,54886
Virginia,2020-06-16,55331
Virginia,2020-06-17,55775
Virginia,2020-06-18,56238
Virginia,2020-06-19,56793
Virginia,2020-06-20,57443
Virginia,2020-06-21,57994
Virginia,2020-06-22,58465
Virginia,2020-06-23,58994
Virginia,2020-06-24,59514
Virginia,2020-06-25,59946
Virginia,2020-06-26,60570
Virginia,2020-06-27,61247
Virginia,2020-06-28,61736
Virginia,2020-06-29,62189
Virginia,2020-06-30,62787
Virginia,2020-07-01,63203
Virginia,2020-07-02,63735
Virginia,2020-07-03,64393
Virginia,2020-07-04,65109
Virginia,2020-07-05,65748
Virginia,2020-07-06,66102
Virginia,2020-07-07,66740
Virginia,2020-07-08,67375
Virginia,2020-07-09,67988
Virginia,2020-07-10,68931
Virginia,2020-07-11,69782
Virginia,2020-07-12,70670
Virginia,2020-07-13,71642
Virginia,2020-07-14,72443
Virginia,2020-07-15,73527
Virginia,2020-07-16,74431
Virginia,2020-07-17,75433
Virginia,2020-07-18,76373
Virginia,2020-07-19,77430
